City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Los Llanos De Aridane,ES,72.12,few clouds,28.6585,-17.9182,Valle Aridane
6,Mareeba,AU,73.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
12,Kapaa,US,84.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Noumea,NC,75.18,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
21,Rikitea,PF,73.06,broken clouds,-23.1203,-134.9692,People ThankYou
22,Hilo,US,80.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
23,Arraial Do Cabo,BR,71.51,clear sky,-22.9661,-42.0278,Pousada Porto Praia
24,Garowe,SO,80.35,scattered clouds,8.4054,48.4845,Curubo Hotel
31,Tanete,ID,73.89,scattered clouds,-3.9443,119.7848,Wisma Tri Multi
33,Kavaratti,IN,81.5,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
37,Asyut,EG,77.14,clear sky,27.181,31.1837,Florence Hotel Assiut
41,Bambous Virieux,MU,72.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
45,Ukiah,US,79.12,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
47,Puerto Ayora,EC,70.39,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Atuona,PF,77.58,few clouds,-9.8,-139.0333,Villa Enata
51,Ixtapa,MX,82.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
52,Tabou,CI,77.49,overcast clouds,4.423,-7.3528,hotêl doufoulougou
56,Hithadhoo,MV,81.97,scattered clouds,-0.6,73.0833,Scoop Guest House
57,Sechura,PE,70.99,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
58,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
61,Buraydah,SA,77.29,clear sky,26.326,43.975,فندق راحة السلام
63,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
70,Am Timan,TD,73.65,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
