City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Evensk,RU,61.95,159.2333,31.86,41,100,9.4,overcast clouds
1,Balotra,IN,25.8333,72.2333,85.05,68,10,12.06,clear sky
2,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,76,20,13.8,few clouds
3,Bluff,NZ,-46.6,168.3333,54.81,76,64,18.43,light rain
4,Geraldton,AU,-28.7667,114.6,57.61,94,90,8.05,overcast clouds
5,Albany,US,42.6001,-73.9662,64.92,77,83,7.36,broken clouds
6,Mareeba,AU,-17.0,145.4333,73.44,86,76,7.4,broken clouds
7,Hermanus,ZA,-34.4187,19.2345,58.89,84,50,7.9,scattered clouds
8,Belyy Yar,RU,53.6039,91.3903,22.89,93,0,2.24,clear sky
9,Margate,GB,51.3813,1.3862,57.69,91,100,5.01,overcast clouds
10,Suhbaatar,MN,50.2314,106.2078,31.1,87,61,2.75,broken clouds
11,Qaanaaq,GL,77.484,-69.3632,27.84,67,100,1.86,overcast clouds
12,Kapaa,US,22.0752,-159.319,84.52,68,40,3.0,light rain
13,Takhtamygda,RU,54.1,123.5667,37.44,92,100,8.3,light rain
14,Mataura,NZ,-46.1927,168.8643,54.48,57,51,8.5,broken clouds
15,Cherskiy,RU,68.75,161.3,14.99,88,54,5.44,broken clouds
16,Egvekinot,RU,66.3167,-179.1667,26.49,95,100,0.38,light snow
17,Kaitangata,NZ,-46.2817,169.8464,57.92,57,43,10.45,scattered clouds
18,Noumea,NC,-22.2763,166.4572,75.18,99,48,12.86,scattered clouds
19,Barrow,US,71.2906,-156.7887,28.42,93,90,0.0,overcast clouds
20,Tabory,RU,58.5198,64.5495,33.71,85,78,5.44,broken clouds
21,Rikitea,PF,-23.1203,-134.9692,73.06,68,68,18.59,broken clouds
22,Hilo,US,19.7297,-155.09,80.8,86,90,5.75,moderate rain
23,Arraial Do Cabo,BR,-22.9661,-42.0278,71.51,86,0,27.31,clear sky
24,Garowe,SO,8.4054,48.4845,80.35,61,36,12.3,scattered clouds
25,Husavik,IS,66.0449,-17.3389,35.82,81,89,20.6,overcast clouds
26,Grindavik,IS,63.8424,-22.4338,36.07,93,75,37.98,broken clouds
27,Chuy,UY,-33.6971,-53.4616,57.09,92,74,11.32,broken clouds
28,Narsaq,GL,60.9167,-46.05,34.02,45,0,5.73,clear sky
29,Yar-Sale,RU,66.8333,70.8333,36.01,99,100,4.63,overcast clouds
30,Hobart,AU,-42.8794,147.3294,49.86,84,75,5.75,broken clouds
31,Tanete,ID,-3.9443,119.7848,73.89,96,43,4.81,scattered clouds
32,Nome,US,64.5011,-165.4064,36.16,52,90,0.0,overcast clouds
33,Kavaratti,IN,10.5669,72.642,81.5,79,99,18.77,overcast clouds
34,Busselton,AU,-33.65,115.3333,56.05,77,83,14.03,broken clouds
35,Uarini,BR,-2.99,-65.1083,80.55,95,98,4.54,light rain
36,Saint George,US,37.1041,-113.5841,88.27,28,1,3.0,clear sky
37,Asyut,EG,27.181,31.1837,77.14,31,0,8.63,clear sky
38,Sosnovo-Ozerskoye,RU,52.5249,111.5418,28.9,82,100,11.07,overcast clouds
39,Torbay,CA,47.6666,-52.7314,62.76,88,90,19.57,overcast clouds
40,Coquimbo,CL,-29.9533,-71.3436,56.93,88,20,10.36,few clouds
41,Bambous Virieux,MU,-20.3428,57.7575,72.21,70,89,18.5,overcast clouds
42,Trinidad,BO,-14.8333,-64.9,89.58,55,40,4.61,scattered clouds
43,Bethel,US,41.3712,-73.414,69.93,90,90,0.0,light rain
