City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Japura,ID,2021-09-25 21:47:59,-0.3167,102.35,73.6,98,99,1.61
1,Kautokeino,NO,2021-09-25 21:48:00,69.0125,23.0412,40.91,88,100,3.24
2,Abu Samrah,SY,2021-09-25 21:48:00,35.3029,37.1841,67.75,52,0,2.28
3,Punta Arenas,CL,2021-09-25 21:46:28,-53.15,-70.9167,44.71,53,40,23.02
4,Jamestown,US,2021-09-25 21:47:31,42.097,-79.2353,65.08,77,90,11.5
5,Mataura,NZ,2021-09-25 21:44:53,-46.1927,168.8643,43.48,91,53,6.44
6,Villarrica,PY,2021-09-25 21:48:00,-25.75,-56.4333,72.1,32,0,5.84
7,Ushuaia,AR,2021-09-25 21:48:01,-54.8,-68.3,42.46,65,40,17.27
8,Norman Wells,CA,2021-09-25 21:48:01,65.282,-126.8329,35.64,93,90,16.11
9,Cabo San Lucas,MX,2021-09-25 21:47:17,22.8909,-109.9124,95.5,70,16,7.16
10,Cape Town,ZA,2021-09-25 21:47:33,-33.9258,18.4232,61.27,86,75,1.01
11,Rocha,UY,2021-09-25 21:48:02,-34.4833,-54.3333,55.15,96,27,5.17
12,Albany,US,2021-09-25 21:47:48,42.6001,-73.9662,70.45,69,93,2.82
13,Rikitea,PF,2021-09-25 21:48:02,-23.1203,-134.9692,73.9,76,58,14.74
14,Qaanaaq,GL,2021-09-25 21:48:02,77.484,-69.3632,21.96,71,100,6.71
15,Santarem,BR,2021-09-25 21:43:29,-2.4431,-54.7083,89.73,62,20,10.36
16,Vaini,TO,2021-09-25 21:48:03,-21.2,-175.2,71.76,88,75,6.91
17,Gondanglegi,ID,2021-09-25 21:48:03,-7.7479,112.0132,75.06,89,88,9.57
18,Vila Franca Do Campo,PT,2021-09-25 21:48:03,37.7167,-25.4333,73.2,90,100,11.03
19,Rawson,AR,2021-09-25 21:48:04,-43.3002,-65.1023,71.02,25,95,25.79
20,Tuktoyaktuk,CA,2021-09-25 21:48:04,69.4541,-133.0374,33.8,100,90,16.11
21,Banjar,ID,2021-09-25 21:48:04,-8.19,114.9675,76.91,88,92,3.29
22,Moose Factory,CA,2021-09-25 21:48:05,51.2585,-80.6094,53.6,76,90,14.97
23,Mujiayingzi,CN,2021-09-25 21:48:05,42.1167,118.7833,55.4,86,3,4.16
24,Lavrentiya,RU,2021-09-25 21:48:05,65.5833,-171.0,32.79,83,100,6.69
25,Dikson,RU,2021-09-25 21:48:05,73.5069,80.5464,35.89,83,100,18.75
26,Visnes,NO,2021-09-25 21:48:06,59.3556,5.2242,55.22,87,75,13.8
27,Caluquembe,AO,2021-09-25 21:48:06,-13.7833,14.6833,62.85,69,85,4.43
28,Hilo,US,2021-09-25 21:47:26,19.7297,-155.09,83.93,68,40,11.5
29,Makakilo City,US,2021-09-25 21:48:07,21.3469,-158.0858,82.29,67,90,4.61
30,Nombre De Dios,MX,2021-09-25 21:48:07,23.85,-104.2333,78.8,75,74,3.91
31,Cidreira,BR,2021-09-25 21:48:07,-30.1811,-50.2056,62.64,88,2,8.72
32,Auki,SB,2021-09-25 21:48:07,-8.7676,160.7034,84.0,69,25,2.75
33,Pisco,PE,2021-09-25 21:46:21,-13.7,-76.2167,68.05,68,0,16.11
34,Ribeira Grande,PT,2021-09-25 21:48:08,38.5167,-28.7,71.24,83,100,8.52
35,Sibolga,ID,2021-09-25 21:48:08,1.7427,98.7792,75.7,90,98,2.62
36,Constitucion,CL,2021-09-25 21:45:56,-35.3333,-72.4167,56.35,74,25,7.23
37,Saint-Joseph,RE,2021-09-25 21:48:09,-21.3667,55.6167,70.16,81,18,13.58
38,Avarua,CK,2021-09-25 21:44:23,-21.2078,-159.775,78.85,78,90,16.11
39,Namibe,AO,2021-09-25 21:48:09,-15.1961,12.1522,64.45,86,80,4.85
40,Busselton,AU,2021-09-25 21:48:10,-33.65,115.3333,51.08,90,67,4.21
41,Georgetown,MY,2021-09-25 21:44:24,5.4112,100.3354,79.9,87,20,5.01
42,Kyren,RU,2021-09-25 21:48:10,51.6828,102.1408,33.22,97,100,1.21
43,San Patricio,US,2021-09-25 21:48:10,28.017,-97.5169,89.69,38,2,12.68
44,Kaitangata,NZ,2021-09-25 21:48:11,-46.2817,169.8464,46.69,55,6,10.89
45,Ust-Kalmanka,RU,2021-09-25 21:48:11,52.1207,83.305,44.91,44,100,16.13
46,Dezhou,CN,2021-09-25 21:48:11,37.4486,116.2925,65.05,98,100,8.5
47,Gueret,FR,2021-09-25 21:48:11,46.1667,1.8667,59.63,96,63,4.25
48,Tuatapere,NZ,2021-09-25 21:48:12,-46.1333,167.6833,43.83,77,69,8.37
49,Taoudenni,ML,2021-09-25 21:48:12,22.6783,-3.9836,96.48,7,59,8.43
50,Fortuna,US,2021-09-25 21:48:12,40.5982,-124.1573,79.2,68,1,4.0
51,Castro,BR,2021-09-25 21:48:13,-24.7911,-50.0119,63.99,78,55,4.07
52,Praia Da Vitoria,PT,2021-09-25 21:48:13,38.7333,-27.0667,71.85,88,90,9.51
53,Gat,IL,2021-09-25 21:48:13,31.61,34.7642,72.81,60,0,6.67
54,Zyryanka,RU,2021-09-25 21:48:14,65.75,150.85,34.39,86,99,13.78
55,New Norfolk,AU,2021-09-25 21:48:14,-42.7826,147.0587,43.75,69,28,2.98
56,Iqaluit,CA,2021-09-25 21:48:14,63.7506,-68.5145,33.53,86,90,5.99
57,Severo-Kurilsk,RU,2021-09-25 21:48:14,50.6789,156.125,48.49,86,100,7.23
58,Klodzko,PL,2021-09-25 21:48:15,50.4349,16.6614,59.11,86,1,2.08
59,Maun,BW,2021-09-25 21:48:15,-19.9833,23.4167,75.16,16,0,4.61
60,Beauchamps,FR,2021-09-25 21:48:16,50.012,1.5176,65.62,83,100,6.06
61,Chuy,UY,2021-09-25 21:44:37,-33.6971,-53.4616,59.02,95,68,5.75
62,Zaraza,VE,2021-09-25 21:48:16,9.3503,-65.3245,80.31,80,92,4.16
63,Torbay,CA,2021-09-25 21:45:12,47.6666,-52.7314,51.28,81,90,12.66
64,College,US,2021-09-25 21:48:16,64.8569,-147.8028,34.59,89,75,0.0
65,Khatanga,RU,2021-09-25 21:44:38,71.9667,102.5,28.71,92,92,10.07
66,Chapais,CA,2021-09-25 21:48:17,49.7834,-74.8492,62.38,60,93,9.53
67,Bluff,NZ,2021-09-25 21:44:35,-46.6,168.3333,43.81,66,37,14.72
68,Sao Filipe,CV,2021-09-25 21:48:17,14.8961,-24.4956,78.66,76,36,4.34
69,Alofi,NU,2021-09-25 21:48:18,-19.0595,-169.9187,76.89,57,9,5.75
70,Luderitz,NA,2021-09-25 21:48:18,-26.6481,15.1594,61.95,53,35,15.05
71,Pangnirtung,CA,2021-09-25 21:48:18,66.1451,-65.7125,35.58,55,100,2.51
72,Svetlogorsk,BY,2021-09-25 21:48:18,52.6333,29.7333,50.88,93,48,11.56
73,Sinnamary,GF,2021-09-25 21:48:19,5.3833,-52.95,81.57,78,15,9.57
74,Souillac,MU,2021-09-25 21:48:19,-20.5167,57.5167,71.98,78,40,14.97
75,Port-Cartier,CA,2021-09-25 21:48:19,50.0334,-66.8654,57.42,89,78,2.55
76,Sabha,LY,2021-09-25 21:48:20,27.0377,14.4283,76.96,31,0,11.63
77,Corsicana,US,2021-09-25 21:47:38,32.0954,-96.4689,90.54,28,1,4.0
78,Lasa,IT,2021-09-25 21:48:20,46.6166,10.7002,61.68,95,87,2.89
79,Nemuro,JP,2021-09-25 21:48:21,43.3236,145.575,54.37,78,4,2.48
80,Faya,SA,2021-09-25 21:48:21,18.3851,42.4509,66.31,25,10,5.75
81,Esperance,AU,2021-09-25 21:48:21,-33.8667,121.9,53.44,77,65,19.33
82,Sobolevo,RU,2021-09-25 21:48:22,54.4299,31.8996,49.21,95,62,12.84
83,Carnarvon,AU,2021-09-25 21:48:22,-24.8667,113.6333,66.27,72,75,10.36
84,Ponta Do Sol,PT,2021-09-25 21:48:22,32.6667,-17.1,70.43,75,75,4.23
85,Dabat,ET,2021-09-25 21:48:23,12.9842,37.765,54.72,82,88,1.61
86,Haines Junction,CA,2021-09-25 21:48:23,60.7522,-137.5108,48.15,40,100,4.61
87,Fort Nelson,CA,2021-09-25 21:43:25,58.8053,-122.7002,56.79,35,75,3.44
88,Thaba-Tseka,LS,2021-09-25 21:48:23,-29.522,28.6084,58.87,38,33,4.07
89,Zeya,RU,2021-09-25 21:48:23,53.75,127.2667,54.12,83,100,4.07
90,Colares,PT,2021-09-25 21:48:24,38.7992,-9.4469,67.28,72,7,1.01
91,Coihaique,CL,2021-09-25 21:48:24,-45.5752,-72.0662,48.81,70,90,11.5
92,Kapaa,US,2021-09-25 21:45:10,22.0752,-159.319,84.18,70,40,3.0
93,Nanortalik,GL,2021-09-25 21:48:24,60.1432,-45.2371,37.63,75,1,7.67
94,Provideniya,RU,2021-09-25 21:48:25,64.3833,-173.3,32.54,87,100,2.37
95,Koshurnikovo,RU,2021-09-25 21:48:25,54.1667,93.3,28.99,88,100,3.8
96,Urumqi,CN,2021-09-25 21:48:25,43.801,87.6005,45.55,49,0,2.24
97,Pevek,RU,2021-09-25 21:48:26,69.7008,170.3133,30.81,97,100,19.15
98,Nikolskoye,RU,2021-09-25 21:48:26,59.7035,30.7861,49.01,91,98,9.33
99,Ozernovskiy,RU,2021-09-25 21:48:27,51.5,156.5167,49.21,81,100,7.99
100,Avera,US,2021-09-25 21:48:27,33.194,-82.5271,80.44,45,54,5.79
101,Oga,IT,2021-09-25 21:48:27,46.4631,10.347,54.28,92,77,4.99
102,Port Elizabeth,ZA,2021-09-25 21:48:28,-33.918,25.5701,62.89,67,20,12.66
103,Tautira,PF,2021-09-25 21:48:28,-17.7333,-149.15,82.42,79,12,13.49
104,Yellowknife,CA,2021-09-25 21:48:28,62.456,-114.3525,47.41,84,75,1.01
105,Puerto Ayora,EC,2021-09-25 21:44:24,-0.7393,-90.3518,75.16,85,77,8.9
106,Tual,ID,2021-09-25 21:48:29,-5.6667,132.75,80.96,81,93,16.6
107,Atar,MR,2021-09-25 21:48:29,20.5169,-13.0499,96.67,21,98,7.43
108,Birin,NP,2021-09-25 21:48:29,26.8865,88.0718,63.0,83,71,4.85
109,Gizo,SB,2021-09-25 21:48:30,-8.103,156.8419,82.56,75,58,5.59
110,Mawlaik,MM,2021-09-25 21:48:30,23.6333,94.4167,75.25,92,0,1.05
111,Camacha,PT,2021-09-25 21:48:30,33.0833,-16.3333,67.42,73,40,5.75
112,Hervey Bay,AU,2021-09-25 21:48:31,-25.2986,152.8535,64.51,73,91,4.25
113,Rio Grande,BR,2021-09-25 21:44:46,-32.035,-52.0986,68.11,93,37,4.7
114,Kanganpur,PK,2021-09-25 21:48:31,30.7663,74.1231,80.62,62,33,3.09
115,Sao Francisco Do Sul,BR,2021-09-25 21:48:32,-26.2433,-48.6381,70.11,78,75,4.61
116,Lebu,CL,2021-09-25 21:48:32,-37.6167,-73.65,51.91,78,24,11.01
117,Samana,DO,2021-09-25 21:45:11,19.2056,-69.3369,86.22,74,20,6.91
118,Nouadhibou,MR,2021-09-25 21:48:32,20.931,-17.0347,71.58,83,0,17.27
119,Katsuura,JP,2021-09-25 21:48:33,35.1333,140.3,71.19,67,100,14.94
120,Sechura,PE,2021-09-25 21:48:33,-5.5569,-80.8222,72.34,64,16,17.34
121,Asau,RO,2021-09-25 21:48:33,46.4333,26.4,54.95,79,1,5.77
122,Hermanus,ZA,2021-09-25 21:48:34,-34.4187,19.2345,61.81,87,24,11.1
